median_household_income_aud, ppl_reporting_high_blood_pressure_rank, ppl_reporting_heart_disease_perc, ppl_reporting_heart_disease_rank, ppl_not_meet_phys_activity_glines_rank, males_reporting_fair_or_poor_hlth_status_perc, females_reporting_fair_or_poor_hlth_status_perc, ppl_reporting_being_obese_perc, travel_time_to_melbourne_minutes, ppl_reporting_type_2_diabetes_perc, distance_to_melbourne_km, id, ppl_reporting_high_blood_pressure_perc, remoteness_area, lga_code, lga_name, ppl_reporting_type_2_diabetes_rank, ppl_reporting_fair_or_poor_hlth_status_perc, ppl_not_meet_phys_activity_glines_perc, commercial_land_use_perc, ppl_reporting_being_pre_obese_perc
878.0,30,8.1,15,73,15.2,12.0,24.2,386.0,5.3,541.0,46,28.1,"Outer Regional Australia",24780,"Mildura (RC)",29,13.4,46.5,0.0,29.0
1170.0,32,6.7,46,15,17.9,13.3,28.8,46.0,6.0,51.0,47,27.4,"Inner Regional Australia",24850,"Mitchell (S)",18,16.2,57.9,0.0,29.5
828.0,10,8.8,9,12,22.8,15.1,31.7,217.0,6.0,259.0,48,29.9,"Inner Regional Australia",24900,"Moira (S)",16,18.8,58.4,0.0,28.5
1321.0,35,5.8,65,32,16.0,17.0,14.4,22.0,5.4,23.0,49,27.1,"Major Cities of Australia",24970,"Monash (C)",26,16.8,55.1,2.2,31.6
1377.0,65,8.0,20,16,18.3,18.1,15.7,12.0,6.3,9.0,50,22.5,"Major Cities of Australia",25060,"Moonee Valley (C)",10,18.5,57.5,4.1,36.4
1183.0,56,8.5,12,67,15.1,9.5,27.9,41.0,4.5,54.0,51,23.6,"Inner Regional Australia",25150,"Moorabool (S)",44,12.2,48.9,0.0,31.4
1215.0,59,6.7,47,18,14.5,20.9,18.0,10.0,7.9,8.0,52,23.4,"Major Cities of Australia",25250,"Moreland (C)",3,18.2,57.4,2.8,25.0
1054.0,20,6.9,41,30,15.1,11.3,17.3,52.0,6.0,54.0,53,28.7,"Major Cities of Australia",25340,"Mornington Peninsula (S)",17,13.0,55.2,0.2,32.7
838.0,48,6.0,63,3,17.7,9.3,12.9,82.0,3.5,121.0,54,24.9,"Inner Regional Australia",25430,"Mount Alexander (S)",68,13.6,61.3,0.0,22.3
1040.0,54,7.4,32,44,18.0,10.8,19.9,230.0,3.8,287.0,55,23.7,"Outer Regional Australia",25490,"Moyne (S)",64,14.0,54.1,0.0,34.8
917.0,13,5.9,64,58,17.8,17.7,22.0,118.0,5.1,129.0,56,29.5,"Inner Regional Australia",25620,"Murrindindi (S)",33,17.8,50.8,0.0,37.7
1872.0,74,7.0,37,63,12.1,7.7,16.5,27.0,2.2,25.0,57,20.1,"Inner Regional Australia",25710,"Nillumbik (S)",79,9.4,49.9,0.0,35.6
815.0,11,8.9,8,6,15.8,18.0,17.4,172.0,5.6,231.0,58,29.7,"Outer Regional Australia",25810,"Northern Grampians (S)",24,16.8,60.3,0.0,28.0
1672.0,79,5.5,71,79,15.0,7.3,8.2,8.0,2.6,6.0,59,15.5,"Major Cities of Australia",25900,"Port Phillip (C)",78,11.1,37.0,6.4,30.1
732.0,75,6.2,59,64,16.7,17.1,30.1,106.0,6.0,157.0,60,19.9,"Inner Regional Australia",25990,"Pyrenees (S)",14,17.2,49.4,0.0,35.7
1022.0,73,5.5,72,76,8.8,7.9,16.3,86.0,3.1,102.0,61,20.2,"Inner Regional Australia",26080,"Queenscliffe (B)",73,8.4,41.8,0.2,27.2
920.0,52,8.2,14,55,14.2,9.6,22.8,108.0,4.2,130.0,62,24.0,"Inner Regional Australia",26170,"South Gippsland (S)",51,11.8,51.6,0.0,36.2
908.0,69,4.5,78,19,8.6,10.4,20.9,229.0,4.3,295.0,63,21.6,"Outer Regional Australia",26260,"Southern Grampians (S)",48,9.6,57.3,0.0,33.0
1722.0,60,7.5,29,68,13.2,14.9,9.8,14.0,4.2,13.0,64,23.3,"Major Cities of Australia",26350,"Stonnington (C)",52,13.9,48.9,6.2,31.0
843.0,42,7.2,35,10,14.7,16.9,21.7,104.0,5.4,152.0,65,26.1,"Inner Regional Australia",26430,"Strathbogie (S)",27,15.5,58.5,0.0,37.7
1277.0,76,5.6,67,77,10.5,8.6,14.8,75.0,2.8,94.0,66,19.9,"Inner Regional Australia",26490,"Surf Coast (S)",77,10.0,41.6,0.0,30.2
886.0,34,4.7,77,57,21.6,10.1,27.9,256.0,4.7,338.0,67,27.2,"Outer Regional Australia",26610,"Swan Hill (RC)",41,16.1,51.5,0.0,32.8
850.0,51,5.5,70,71,12.8,9.6,20.7,304.0,5.1,423.0,68,24.1,"Outer Regional Australia",26670,"Towong (S)",31,11.2,47.6,0.0,37.5
913.0,77,6.4,56,33,8.1,10.5,16.9,161.0,4.2,238.0,69,19.2,"Inner Regional Australia",26700,"Wangaratta (RC)",50,9.3,55.0,0.0,33.1
1025.0,50,8.3,13,69,12.4,9.1,22.9,210.0,5.5,255.0,70,24.3,"Inner Regional Australia",26730,"Warrnambool (C)",25,10.6,47.9,1.0,36.3
905.0,15,7.0,36,60,12.6,13.0,20.1,154.0,6.6,212.0,71,29.1,"Outer Regional Australia",26810,"Wellington (S)",7,13.2,50.7,0.0,34.0
815.0,9,7.4,33,61,16.6,23.7,22.9,318.0,4.6,408.0,72,30.0,"Outer Regional Australia",26890,"West Wimmera (S)",43,19.9,50.6,0.0,45.0
1317.0,45,7.7,26,27,14.5,12.1,14.7,22.0,3.8,26.0,73,25.5,"Major Cities of Australia",26980,"Whitehorse (C)",62,13.6,55.3,3.3,24.0
1275.0,21,9.8,2,1,20.6,24.5,24.1,28.0,8.4,28.0,74,28.7,"Inner Regional Australia",27070,"Whittlesea (C)",2,22.8,61.7,0.5,31.6
1075.0,29,9.2,5,48,11.6,12.6,20.3,205.0,6.4,307.0,75,28.1,"Inner Regional Australia",27170,"Wodonga (RC)",8,11.8,53.2,0.3,35.9
1424.0,12,5.6,68,4,21.4,13.6,25.1,25.0,4.4,31.0,76,29.6,"Inner Regional Australia",27260,"Wyndham (C)",46,17.4,60.8,0.3,32.7
1680.0,64,7.0,39,54,15.3,13.7,12.1,6.0,3.5,4.0,77,22.5,"Major Cities of Australia",27350,"Yarra (C)",69,14.8,51.8,13.3,23.5
1281.0,57,6.7,48,26,16.0,12.9,16.4,33.0,3.9,37.0,78,23.6,"Inner Regional Australia",27450,"Yarra Ranges (S)",60,15.2,55.5,0.1,33.1
773.0,27,9.6,3,66,30.0,24.3,25.2,255.0,5.7,334.0,79,28.3,"Outer Regional Australia",27630,"Yarriambiack (S)",23,26.7,48.9,0.0,38.3
